"TimeGenerated [UTC]",ActionType,FileName,PreviousFileName,FolderPath,PreviousFolderPath,InitiatingProcessAccountName,InitiatingProcessCommandLine
"4/7/2025, 5:40:58.989 AM",FileRenamed,"employee-data-temp20250407054049.csv","employee-data-temp20250407054049.csv","C:\ProgramData\backup\employee-data-temp20250407054049.csv","C:\ProgramData",resend7393,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 5:40:58.984 AM",FileRenamed,"employee-data-20250407054049.zip","employee-data-20250407054049.zip","C:\ProgramData\backup\employee-data-20250407054049.zip","C:\ProgramData",resend7393,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 5:40:58.746 AM",FileCreated,"employee-data-20250407054049.zip",,"C:\ProgramData\employee-data-20250407054049.zip",,resend7393,"""7z.exe"" a C:\ProgramData\employee-data-20250407054049.zip C:\ProgramData\employee-data-temp20250407054049.csv"
"4/7/2025, 5:40:49.133 AM",FileCreated,"employee-data-temp20250407054049.csv",,"C:\ProgramData\employee-data-temp20250407054049.csv",,resend7393,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 4:50:36.265 AM",FileRenamed,"employee-data-temp20250407045028.csv","employee-data-temp20250407045028.csv","C:\ProgramData\backup\employee-data-temp20250407045028.csv","C:\ProgramData",system,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 4:50:36.261 AM",FileRenamed,"employee-data-20250407045028.zip","employee-data-20250407045028.zip","C:\ProgramData\backup\employee-data-20250407045028.zip","C:\ProgramData",system,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 4:50:35.905 AM",FileCreated,"employee-data-20250407045028.zip",,"C:\ProgramData\employee-data-20250407045028.zip",,system,"""7z.exe"" a C:\ProgramData\employee-data-20250407045028.zip C:\ProgramData\employee-data-temp20250407045028.csv"
"4/7/2025, 4:50:28.473 AM",FileCreated,"employee-data-temp20250407045028.csv",,"C:\ProgramData\employee-data-temp20250407045028.csv",,system,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 12:51:24.197 AM",FileRenamed,"employee-data-temp20250407005116.csv","employee-data-temp20250407005116.csv","C:\ProgramData\backup\employee-data-temp20250407005116.csv","C:\ProgramData",system,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 12:51:24.154 AM",FileRenamed,"employee-data-20250407005116.zip","employee-data-20250407005116.zip","C:\ProgramData\backup\employee-data-20250407005116.zip","C:\ProgramData",system,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 12:51:23.794 AM",FileCreated,"employee-data-20250407005116.zip",,"C:\ProgramData\employee-data-20250407005116.zip",,system,"""7z.exe"" a C:\ProgramData\employee-data-20250407005116.zip C:\ProgramData\employee-data-temp20250407005116.csv"
"4/7/2025, 12:51:16.426 AM",FileCreated,"employee-data-temp20250407005116.csv",,"C:\ProgramData\employee-data-temp20250407005116.csv",,system,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 12:36:44.576 AM",FileRenamed,"employee-data-temp20250407003635.csv","employee-data-temp20250407003635.csv","C:\ProgramData\backup\employee-data-temp20250407003635.csv","C:\ProgramData",resend7393,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 12:36:44.571 AM",FileRenamed,"employee-data-20250407003635.zip","employee-data-20250407003635.zip","C:\ProgramData\backup\employee-data-20250407003635.zip","C:\ProgramData",resend7393,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
"4/7/2025, 12:36:44.339 AM",FileCreated,"employee-data-20250407003635.zip",,"C:\ProgramData\employee-data-20250407003635.zip",,resend7393,"""7z.exe"" a C:\ProgramData\employee-data-20250407003635.zip C:\ProgramData\employee-data-temp20250407003635.csv"
"4/7/2025, 12:36:35.550 AM",FileCreated,"employee-data-temp20250407003635.csv",,"C:\ProgramData\employee-data-temp20250407003635.csv",,resend7393,"powershell.exe  -ExecutionPolicy Bypass -File C:\programdata\exfiltratedata.ps1"
