TenantId,ActionType,AdditionalFields,AppGuardContainerId,DeviceId,DeviceName,FileName,FileOriginIP,FileOriginReferrerUrl,FileOriginUrl,FileSize,FolderPath,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountObjectId,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessCommandLine,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessId,InitiatingProcessIntegrityLevel,InitiatingProcessMD5,InitiatingProcessParentFileName,InitiatingProcessParentId,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessTokenElevation,IsAzureInfoProtectionApplied,MD5,MachineGroup,PreviousFileName,PreviousFolderPath,ReportId,RequestAccountDomain,RequestAccountName,RequestAccountSid,RequestProtocol,RequestSourceIP,RequestSourcePort,SHA1,SHA256,SensitivityLabel,SensitivitySubLabel,ShareName,"Timestamp [UTC]","TimeGenerated [UTC]","InitiatingProcessParentCreationTime [UTC]","InitiatingProcessCreationTime [UTC]",InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,SourceSystem,Type
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Unknown""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","__PSScriptPolicyTest_w1vdritz.war.ps1",,,,60,"C:\Windows\Temp\__PSScriptPolicyTest_w1vdritz.war.ps1","nt authority",system,,"S-1-5-18",,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\3fa4876e-3ae5-4c59-9a4d-08a7400268a5.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\3fa4876e-3ae5-4c59-9a4d-08a7400268a5.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '572b2a22301851acc887be0bcd1575208a4233303fc9abbf5c0c0ee9e18b5347')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\3fa4876e-3ae5-4c59-9a4d-08a7400268a5.ps1' }""","powershell.exe","c:\windows\system32\windowspowershell\v1.0\powershell.exe",8700,System,2e5a8590cf6848968fc23de3fa1e25f1,"SenseIR.exe",2484,801262e122db6a2e758962896f260b55bbd0136a,9785001b0dcf755eddb8af294a373c0b87b2498660f724e76c4d53f9c217c7a3,TokenElevationTypeDefault,,d17fe0a3f47be24a6453e9ef58c94641,,,,12255,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,6ab83620379fc69f80c0242105ddffd7d98d5d9d,96ad1146eb96877eab5942ae0736b82d8b5e2039a80d3d6932665c1a4c87dcf7,,,,"4/7/2025, 7:27:22.393 AM","4/7/2025, 7:27:22.393 AM","4/7/2025, 7:19:09.153 AM","4/7/2025, 7:27:09.635 AM",455680,"Microsoft Corporation","Windows PowerShell",POWERSHELL,"PowerShell.EXE","Microsoft® Windows® Operating System","10.0.19041.3996",0,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileRenamed,"{""FileType"":""Unknown""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","3288.xml",,,,817,"C:\Users\Resend7393\AppData\Local\Microsoft_Corporation\PowerShell_ISE.exe_StrongName_lw2v2vm3wmtzzpebq33gybmeoxukb04w\3.0.0.0\AutoSaveInformation\3288.xml","resend7393-vm",resend7393,,"S-1-5-21-278532790-602922818-3350106154-500",,"""powershell_ise.exe"" ""C:\ProgramData\exfiltratedata.ps1""","powershell_ise.exe","c:\windows\system32\windowspowershell\v1.0\powershell_ise.exe",3288,High,e05920670516cc96822699e5688a79fa,"explorer.exe",5096,5f2596b6c147e13a32c7d73ef1c1365ba0171687,1172951d8b1aa4cf9d0ac9f72ae344c5896ce4286c790a1f0dff8a6f71a5772e,TokenElevationTypeDefault,,fdac3e27e0636a0749ed2dccabab47ec,,"2zlpkv4e.tmp","C:\Users\Resend7393\AppData\Local\Microsoft_Corporation\PowerShell_ISE.exe_StrongName_lw2v2vm3wmtzzpebq33gybmeoxukb04w\3.0.0.0\AutoSaveInformation",12231,"Resend7393-VM",Resend7393,"S-1-5-21-278532790-602922818-3350106154-500",Local,,,cec8d0286d0017456dcab5e3209f87815930f1a9,3ba0154062aa0ce8b278853f45bbb0e064d279b04e78d2adc2a2868b05aca2a0,,,,"4/7/2025, 7:20:50.222 AM","4/7/2025, 7:20:50.222 AM","4/7/2025, 12:34:58.016 AM","4/7/2025, 2:18:41.409 AM",212992,"Microsoft Corporation","Windows PowerShell ISE","POWERSHELL_ISE","powershell_ise.EXE","Microsoft® Windows® Operating System","10.0.19041.1",2,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Error""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","bgaawww5.dll",,,,,"C:\Windows\Temp\bgaawww5\bgaawww5.dll","nt authority",system,,"S-1-5-18",,"""csc.exe"" /noconfig /fullpaths @""C:\Windows\TEMP\bgaawww5\bgaawww5.cmdline""","csc.exe","c:\windows\microsoft.net\framework64\v4.0.30319\csc.exe",5872,System,53803cb67327cc873a1c88604d54a1d4,"powershell.exe",3956,b9b34e794e751a7a7f2ff32f56f63c463642e09a,aae1db57f898ca8bda18590c56f86ced6d0ead80c22033b76fdfe9119706f116,TokenElevationTypeDefault,,,,,,12210,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,,,,,,"4/7/2025, 7:19:53.515 AM","4/7/2025, 7:19:53.515 AM","4/7/2025, 7:19:19.286 AM","4/7/2025, 7:19:52.450 AM",2569696,"Microsoft Corporation","Visual C# Command Line Compiler","csc.exe","csc.exe","Microsoft® .NET Framework","4.8.9232.0",0,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Unknown""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","bgaawww5.dll",,,,0,"C:\Windows\Temp\bgaawww5\bgaawww5.dll","nt authority",system,,"S-1-5-18",,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '3621424d00372ca7179a6a7961737d2bee01d06c34c6d5bb6e8f16cf84e34712')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' }""","powershell.exe","c:\windows\system32\windowspowershell\v1.0\powershell.exe",3956,System,2e5a8590cf6848968fc23de3fa1e25f1,"SenseIR.exe",2484,801262e122db6a2e758962896f260b55bbd0136a,9785001b0dcf755eddb8af294a373c0b87b2498660f724e76c4d53f9c217c7a3,TokenElevationTypeDefault,,,,,,12225,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,,,,,,"4/7/2025, 7:19:52.448 AM","4/7/2025, 7:19:52.448 AM","4/7/2025, 7:19:09.153 AM","4/7/2025, 7:19:19.286 AM",455680,"Microsoft Corporation","Windows PowerShell",POWERSHELL,"PowerShell.EXE","Microsoft® Windows® Operating System","10.0.19041.3996",0,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Error""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","ojoufwae.dll",,,,,"C:\Windows\Temp\ojoufwae\ojoufwae.dll","nt authority",system,,"S-1-5-18",,"""csc.exe"" /noconfig /fullpaths @""C:\Windows\TEMP\ojoufwae\ojoufwae.cmdline""","csc.exe","c:\windows\microsoft.net\framework64\v4.0.30319\csc.exe",6868,System,53803cb67327cc873a1c88604d54a1d4,"powershell.exe",3956,b9b34e794e751a7a7f2ff32f56f63c463642e09a,aae1db57f898ca8bda18590c56f86ced6d0ead80c22033b76fdfe9119706f116,TokenElevationTypeDefault,,,,,,12204,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,,,,,,"4/7/2025, 7:19:52.355 AM","4/7/2025, 7:19:52.355 AM","4/7/2025, 7:19:19.286 AM","4/7/2025, 7:19:51.712 AM",2569696,"Microsoft Corporation","Visual C# Command Line Compiler","csc.exe","csc.exe","Microsoft® .NET Framework","4.8.9232.0",0,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Unknown""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","ojoufwae.dll",,,,0,"C:\Windows\Temp\ojoufwae\ojoufwae.dll","nt authority",system,,"S-1-5-18",,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '3621424d00372ca7179a6a7961737d2bee01d06c34c6d5bb6e8f16cf84e34712')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' }""","powershell.exe","c:\windows\system32\windowspowershell\v1.0\powershell.exe",3956,System,2e5a8590cf6848968fc23de3fa1e25f1,"SenseIR.exe",2484,801262e122db6a2e758962896f260b55bbd0136a,9785001b0dcf755eddb8af294a373c0b87b2498660f724e76c4d53f9c217c7a3,TokenElevationTypeDefault,,,,,,12224,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,,,,,,"4/7/2025, 7:19:51.209 AM","4/7/2025, 7:19:51.209 AM","4/7/2025, 7:19:09.153 AM","4/7/2025, 7:19:19.286 AM",455680,"Microsoft Corporation","Windows PowerShell",POWERSHELL,"PowerShell.EXE","Microsoft® Windows® Operating System","10.0.19041.3996",0,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Unknown""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","HeavyDrizzle[1].svg",,,,4545,"C:\Users\Resend7393\AppData\Local\Microsoft\Windows\INetCache\IE\BGOWK34R\HeavyDrizzle[1].svg","resend7393-vm",resend7393,,"S-1-5-21-278532790-602922818-3350106154-500",,"Explorer.EXE","explorer.exe","c:\windows\explorer.exe",5096,High,bb2d295107def151e66e0f47939ef07a,"userinit.exe",5060,3a9fa39156a0117d39904a1cdfabf047322eb345,233532c5959ee5a56ff0f5b3a1fe2aad5f589ed2bbd9ddf20fd6ae60190f830b,TokenElevationTypeDefault,,75d1cef6356016abd3a3b69a7fd19900,,,,12197,"Resend7393-VM",Resend7393,"S-1-5-21-278532790-602922818-3350106154-500",Local,,,30a71bf7b250f569dfde1a55117f741b55aefa0e,fcfc365202b250aae233a43bdac55cc99d70d13771ad602fb92bca486e8e3a0c,,,,"4/7/2025, 7:19:33.982 AM","4/7/2025, 7:19:33.982 AM","4/7/2025, 12:34:57.831 AM","4/7/2025, 12:34:58.016 AM",5973416,"Microsoft Corporation","Windows Explorer",explorer,"EXPLORER.EXE","Microsoft® Windows® Operating System","10.0.19041.5607",2,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Unknown""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","__PSScriptPolicyTest_5ovdjl01.b0u.psm1",,,,60,"C:\Windows\Temp\__PSScriptPolicyTest_5ovdjl01.b0u.psm1","nt authority",system,,"S-1-5-18",,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '3621424d00372ca7179a6a7961737d2bee01d06c34c6d5bb6e8f16cf84e34712')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' }""","powershell.exe","c:\windows\system32\windowspowershell\v1.0\powershell.exe",3956,System,2e5a8590cf6848968fc23de3fa1e25f1,"SenseIR.exe",2484,801262e122db6a2e758962896f260b55bbd0136a,9785001b0dcf755eddb8af294a373c0b87b2498660f724e76c4d53f9c217c7a3,TokenElevationTypeDefault,,,,,,12193,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,,,,,,"4/7/2025, 7:19:23.220 AM","4/7/2025, 7:19:23.220 AM","4/7/2025, 7:19:09.153 AM","4/7/2025, 7:19:19.286 AM",455680,"Microsoft Corporation","Windows PowerShell",POWERSHELL,"PowerShell.EXE","Microsoft® Windows® Operating System","10.0.19041.3996",0,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Unknown""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","__PSScriptPolicyTest_o0kxfckj.mw0.ps1",,,,60,"C:\Windows\Temp\__PSScriptPolicyTest_o0kxfckj.mw0.ps1","nt authority",system,,"S-1-5-18",,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '3621424d00372ca7179a6a7961737d2bee01d06c34c6d5bb6e8f16cf84e34712')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079-4d3f5f0d0849f75f9ff1be7b0b8683c4e5c1a60a\08cabb5a-a9a4-4758-9e93-28d5bdfa77ef.ps1' }""","powershell.exe","c:\windows\system32\windowspowershell\v1.0\powershell.exe",3956,System,2e5a8590cf6848968fc23de3fa1e25f1,"SenseIR.exe",2484,801262e122db6a2e758962896f260b55bbd0136a,9785001b0dcf755eddb8af294a373c0b87b2498660f724e76c4d53f9c217c7a3,TokenElevationTypeDefault,,d17fe0a3f47be24a6453e9ef58c94641,,,,12192,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,6ab83620379fc69f80c0242105ddffd7d98d5d9d,96ad1146eb96877eab5942ae0736b82d8b5e2039a80d3d6932665c1a4c87dcf7,,,,"4/7/2025, 7:19:22.680 AM","4/7/2025, 7:19:22.680 AM","4/7/2025, 7:19:09.153 AM","4/7/2025, 7:19:19.286 AM",455680,"Microsoft Corporation","Windows PowerShell",POWERSHELL,"PowerShell.EXE","Microsoft® Windows® Operating System","10.0.19041.3996",0,false,,,,DeviceFileEvents
"60c7f53e-249a-4077-b68e-55a4ae877d7c",FileCreated,"{""FileType"":""Error""}",,bc60bd4c60b3974963498304f951187e01ed58f6,"resend7393-vm","__PSScriptPolicyTest_gqszhiwy.4on.psm1",,,,,"C:\Windows\Temp\__PSScriptPolicyTest_gqszhiwy.4on.psm1","nt authority",system,,"S-1-5-18",,"gc_worker.exe -a MaximumPasswordAge@pidfqikm6hc3lzdy -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/cd491b12-00ad-4be6-8e9c-4cb2e0b128f6","gc_worker.exe","c:\packages\plugins\microsoft.guestconfiguration.configurationforwindows\1.29.92.0\dsc\gc\gc_worker.exe",6444,System,ed0b79901bf186961d22c878877b66de,"gc_service.exe",6136,d93b0b3d6d2f0311bbe0fbdb556ad0fd48d17fa4,af406fbb9a6131c903e6a934ffd6973dc588879d08d3bf0a36d2f6f7e23f77a1,TokenElevationTypeDefault,,,,,,12030,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,,,,,,"4/7/2025, 6:50:02.783 AM","4/7/2025, 6:50:02.783 AM","4/7/2025, 12:36:34.301 AM","4/7/2025, 6:49:57.539 AM",657976,,,,,,,0,false,,,,DeviceFileEvents
